time_min,oxygen,glucose,lactate,ECM,TGF_beta,IFN_gamma,Gal8_ext
0,15.626262179767535,0.7314881950541391,6.854177018543154,1.1652021187055472,0.0905192082872976,0.02119785833327525,0.06302483993300421
60,15.577653041223591,0.7294637929780834,6.865925196323484,1.1658321614305958,0.08955456367896193,0.020732222057846427,0.0001564573912463728
120,15.573560657141904,0.729901272824611,6.8684048404577105,1.1723263827816408,0.09025270067752814,0.020772597082408167,3.884010701438073e-07
180,15.529911596124467,0.7294106954538369,6.871390684198294,1.1740043483876332,0.09114240101099275,0.020788616041268818,9.641947247561193e-10
240,15.509526269486038,0.7285844380784073,6.873434614813772,1.1748668029467373,0.09147609230382593,0.020768970717664495,2.3935862661328952e-12
300,15.483907842032785,0.7277702815291747,6.873960943006711,1.1837702131100338,0.09031792236005375,0.020757804410422395,5.942010536169634e-15
360,15.514565107336859,0.7281544643883171,6.8680439437915,1.1909694425900226,0.0903126117095129,0.02090974067565239,1.475087391314048e-17
420,15.509073193670888,0.7275008670097327,6.8569585073698125,1.198226462795329,0.0907876350929224,0.021020465878098006,3.661862931357764e-20
480,15.501253016216124,0.7268220430735567,6.8507413422963275,1.2087217322587933,0.09087546024773732,0.020778896871893254,9.090471660873446e-23
540,15.52676920359384,0.7276202039878227,6.841625816728564,1.2142811377463592,0.09024925510174547,0.020593749522470593,2.2566840039122605e-25
600,15.502484168476752,0.7274282799752918,6.823808813072596,1.2207245871372754,0.09081190415580741,0.020601388949662174,5.602154523436636e-28
660,15.53711484659616,0.7285524147542913,6.804855914188238,1.2247117174162503,0.09109521245857881,0.020726588596033473,1.3907190927065119e-30
720,15.530305358658294,0.728229595804719,6.7888715457153825,1.2278146895519044,0.0908581392198428,0.020743112324044806,3.452421004681521e-33
780,15.496382087716752,0.7274592277167904,6.774875069725259,1.2321378647997112,0.09226523909018501,0.02069676943580887,8.570537972819439e-36
840,15.49019694754339,0.7271197170103384,6.761169962025847,1.2388693268064193,0.0925014269360057,0.020720663713134427,2.1276119292500942e-38
900,15.484977606785597,0.7272664355191801,6.748787080458937,1.2410368165568344,0.09109554929322944,0.020694598175259,5.281736730930268e-41
960,15.505490853797054,0.7274356012894811,6.741134134881622,1.2502818773337439,0.09011577873526586,0.0206565865230161,1.3111762775597207e-43
1020,15.463168910625376,0.7265032167333121,6.7333986421661685,1.2524203879061369,0.08959738993037349,0.02067006208304089,3.2549582048792655e-46
1080,15.438556247473421,0.7261822860098635,6.727965827873969,1.2551914692167545,0.09260640688497777,0.020640910058518626,8.08034213006747e-49
1140,15.437734955463219,0.7255146083984141,6.7239848024139635,1.2580598584432348,0.09240923262675065,0.020630782794853125,2.0059221909844807e-51
1200,15.425478405996621,0.7253946877818341,6.72321708744229,1.2613596887399927,0.09142020767186693,0.02063160620028971,4.979645380746253e-54
1260,15.419494653849632,0.72453093734114,6.722943691986175,1.2683776590327402,0.0897432021373998,0.020647319159223288,1.2361829501381359e-56
1320,15.416487746917308,0.7238835299822319,6.724540610818904,1.2695841344233125,0.09004309046615443,0.020683390931122873,3.0687893803056625e-59
1380,15.390268179722293,0.7237087893309982,6.726339178954171,1.271271766148707,0.08893838822861262,0.02124436897232174,7.6181832629421655e-62
1440,15.396266055513022,0.7234351130794847,6.721856312789762,1.2777274604906288,0.08830148964959336,0.021151205503633978,1.8911925530057538e-64
1500,15.44030884516918,0.7248129974760336,6.712886576032703,1.282845889983541,0.0876742890469931,0.02103518271767077,4.6948322836265354e-67
