time_min,live_count,divisions_this_interval,deaths_this_interval,net_this_interval
14580,946,6,8,-2
14640,944,4,6,-2
14700,948,7,3,4
14760,954,9,3,6
14820,960,8,2,6
14880,962,4,2,2
14940,965,6,3,3
15000,966,3,2,1
15060,970,7,3,4
15120,973,8,5,3
15180,977,9,5,4
15240,983,7,1,6
15300,983,3,3,0
15360,987,7,3,4
15420,994,10,3,7
15480,995,7,6,1
15540,999,6,2,4
15600,1002,9,6,3
15660,1004,6,4,2
15720,1003,5,6,-1
15780,1011,10,2,8
15840,1012,8,7,1
15900,1015,8,5,3
15960,1019,6,2,4
16020,1018,4,5,-1
16080,1019,8,7,1
16140,1017,4,6,-2
16200,1019,6,4,2
16260,1020,6,5,1
16320,1022,10,8,2
16380,1023,4,3,1
16440,1023,5,5,0
16500,1021,3,5,-2
16560,1018,3,6,-3
16620,1021,7,4,3
16680,1027,7,1,6
16740,1029,4,2,2
16800,1030,6,5,1
16860,1034,7,3,4
16920,1038,7,3,4
16980,1035,3,6,-3
17040,1038,8,5,3
17100,1042,7,3,4
17160,1041,1,2,-1
17220,1045,6,2,4
17280,1044,3,4,-1
17340,1048,8,4,4
17400,1049,5,4,1
17460,1054,10,5,5
17520,1052,6,8,-2
17580,1060,10,2,8
17640,1063,10,7,3
17700,1064,6,5,1
17760,1064,7,7,0
17820,1062,7,9,-2
17880,1062,5,5,0
17940,1060,3,5,-2
18000,1054,4,10,-6
18060,1057,6,3,3
18120,1054,3,6,-3
18180,1057,6,3,3
18240,1059,5,3,2
18300,1061,3,1,2
18360,1062,7,6,1
18420,1063,6,5,1
18480,1061,4,6,-2
18540,1061,3,3,0
18600,1064,9,6,3
18660,1062,3,5,-2
18720,1065,10,7,3
18780,1066,6,5,1
18840,1065,5,6,-1
18900,1068,6,3,3
18960,1067,5,6,-1
19020,1071,8,4,4
19080,1074,10,7,3
19140,1075,4,3,1
19200,1081,10,4,6
19260,1085,7,3,4
19320,1092,9,2,7
19380,1091,7,8,-1
19440,1092,9,8,1
19500,1093,5,4,1
19560,1094,4,3,1
19620,1096,3,1,2
19680,1097,8,7,1
19740,1102,10,5,5
19800,1100,10,12,-2
19860,1104,7,3,4
19920,1107,7,4,3
19980,1110,8,5,3
20040,1109,5,6,-1
20100,1111,6,4,2
20160,1115,10,6,4
20220,1117,6,4,2
20280,1124,13,6,7
20340,1116,3,11,-8
20400,1117,7,6,1
20460,1118,6,5,1
20520,1118,6,6,0
20580,1118,7,7,0
20640,1120,8,6,2
20700,1125,6,1,5
20760,1130,8,3,5
20820,1128,4,6,-2
20880,1124,5,9,-4
20940,1125,6,5,1
21000,1124,4,5,-1
21060,1128,6,2,4
21120,1133,6,1,5
21180,1134,5,4,1
21240,1131,4,7,-3
21300,1137,12,6,6
21360,1141,6,2,4
21420,1143,9,7,2
21480,1149,8,2,6
21540,1147,3,5,-2
21600,1148,5,4,1
